City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Gibraleon,ES,37.3763,-6.969,48.97,74,8,9.33,clear sky
329,Lisala,CD,2.15,21.5167,74.35,81,100,3.58,overcast clouds
330,Adrar,MR,20.5022,-10.0711,62.19,32,0,11.25,clear sky
331,Rusape,ZW,-18.5278,32.1284,62.1,65,1,4.68,clear sky
332,Ahipara,NZ,-35.1667,173.1667,68.65,64,92,2.13,overcast clouds
333,Kieta,PG,-6.2167,155.6333,81.52,78,100,1.68,overcast clouds
334,Norman Wells,CA,65.282,-126.8329,-14.64,95,99,6.69,overcast clouds
335,Almaty,KZ,43.25,76.95,17.51,86,0,4.47,mist
336,Kyren,RU,51.6828,102.1408,9.16,84,76,2.46,broken clouds
337,Chimoio,MZ,-19.1164,33.4833,61.92,76,0,0.51,clear sky
338,Labuhan,ID,-6.8844,112.2051,75.88,90,100,3.13,light rain
339,Vostok,RU,46.4856,135.8833,18.46,89,97,5.21,overcast clouds
